date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,fiscal_year,quarter,month,year
2021-05-01,West Bengal,4-Wheelers,6,3962,2022,Q1,5,2021
2021-05-01,Andhra Pradesh,2-Wheelers,201,41370,2022,Q1,5,2021
2021-05-01,Bihar,2-Wheelers,8,55276,2022,Q1,5,2021
2021-05-01,Chhattisgarh,2-Wheelers,6,5280,2022,Q1,5,2021
2021-05-01,Goa,2-Wheelers,27,379,2022,Q1,5,2021
2021-05-01,Gujarat,2-Wheelers,106,33419,2022,Q1,5,2021
2021-05-01,Haryana,2-Wheelers,17,7315,2022,Q1,5,2021
2021-05-01,Himachal Pradesh,2-Wheelers,4,1721,2022,Q1,5,2021
2021-05-01,Jammu and Kashmir,2-Wheelers,50,1916,2022,Q1,5,2021
2021-05-01,Jharkhand,2-Wheelers,39,21680,2022,Q1,5,2021
2021-05-01,Karnataka,2-Wheelers,140,4942,2022,Q1,5,2021
2021-05-01,Kerala,2-Wheelers,95,6675,2022,Q1,5,2021
2021-05-01,Maharashtra,2-Wheelers,189,16627,2022,Q1,5,2021
2021-05-01,Odisha,2-Wheelers,28,5900,2022,Q1,5,2021
2021-05-01,Puducherry,2-Wheelers,3,314,2022,Q1,5,2021
2021-05-01,Punjab,2-Wheelers,21,14366,2022,Q1,5,2021
2021-05-01,Rajasthan,2-Wheelers,33,18802,2022,Q1,5,2021
2021-05-01,Tamil Nadu,2-Wheelers,237,17837,2022,Q1,5,2021
2021-05-01,Uttar Pradesh,2-Wheelers,25,147458,2022,Q1,5,2021
2021-05-01,Uttarakhand,2-Wheelers,6,2957,2022,Q1,5,2021
2021-05-01,West Bengal,2-Wheelers,6,28906,2022,Q1,5,2021
2021-06-01,Sikkim,2-Wheelers,0,229,2022,Q1,6,2021
2021-06-01,Sikkim,4-Wheelers,0,244,2022,Q1,6,2021
2021-06-01,Andaman & Nicobar Island,2-Wheelers,0,2,2022,Q1,6,2021
2021-06-01,Arunachal Pradesh,2-Wheelers,0,727,2022,Q1,6,2021
2021-06-01,Arunachal Pradesh,4-Wheelers,0,565,2022,Q1,6,2021
2021-06-01,Ladakh,2-Wheelers,0,3,2022,Q1,6,2021
2021-06-01,Ladakh,4-Wheelers,0,112,2022,Q1,6,2021
2021-06-01,Manipur,2-Wheelers,0,89,2022,Q1,6,2021
2021-06-01,Manipur,4-Wheelers,0,18,2022,Q1,6,2021
2021-06-01,Meghalaya,2-Wheelers,0,354,2022,Q1,6,2021
2021-06-01,Meghalaya,4-Wheelers,0,246,2022,Q1,6,2021
2021-06-01,Mizoram,2-Wheelers,0,648,2022,Q1,6,2021
2021-06-01,Mizoram,4-Wheelers,0,298,2022,Q1,6,2021
2021-06-01,Nagaland,2-Wheelers,0,42,2022,Q1,6,2021
2021-06-01,Nagaland,4-Wheelers,0,54,2022,Q1,6,2021
2021-06-01,Puducherry,4-Wheelers,0,445,2022,Q1,6,2021
2021-06-01,Tripura,4-Wheelers,0,185,2022,Q1,6,2021
2021-06-01,Assam,4-Wheelers,1,3842,2022,Q1,6,2021
2021-06-01,DNH and DD,4-Wheelers,1,234,2022,Q1,6,2021
2021-06-01,Himachal Pradesh,4-Wheelers,1,3193,2022,Q1,6,2021
2021-06-01,Jammu and Kashmir,4-Wheelers,1,4469,2022,Q1,6,2021
2021-06-01,Tripura,2-Wheelers,1,1523,2022,Q1,6,2021
2021-06-01,Andhra Pradesh,4-Wheelers,39,6098,2022,Q1,6,2021
2021-06-01,Bihar,4-Wheelers,4,5692,2022,Q1,6,2021
2021-06-01,Chandigarh,4-Wheelers,12,2050,2022,Q1,6,2021
2021-06-01,Chhattisgarh,4-Wheelers,5,4526,2022,Q1,6,2021
